"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"제주특별자치도 제주시 (5011000000)","489,881","489,881","43,483","52,670","61,851","60,993","81,221","82,062","57,977","30,193","16,386","2,926","119","244,908","244,908","22,312","27,487","32,524","30,691","41,153","42,146","28,796","13,722","5,604","467","6","244,973","244,973","21,171","25,183","29,327","30,302","40,068","39,916","29,181","16,471","10,782","2,459","113"
"제주특별자치도 제주시 한림읍(5011025000)","21,074","21,074","1,446","1,772","2,022","2,073","3,332","3,873","3,198","1,953","1,191","203","11","10,824","10,824","733","980","1,141","1,071","1,794","2,184","1,641","870","372","37","1","10,250","10,250","713","792","881","1,002","1,538","1,689","1,557","1,083","819","166","10"
"제주특별자치도 제주시 애월읍(5011025300)","37,322","37,322","3,447","3,532","3,534","4,357","6,529","6,522","4,771","2,602","1,689","328","11","19,095","19,095","1,803","1,864","1,929","2,147","3,494","3,501","2,516","1,240","554","46","1","18,227","18,227","1,644","1,668","1,605","2,210","3,035","3,021","2,255","1,362","1,135","282","10"
"제주특별자치도 제주시 구좌읍(5011025600)","15,303","15,303","840","1,142","1,289","1,496","2,320","2,802","2,434","1,557","1,189","226","8","7,857","7,857","447","608","708","758","1,361","1,627","1,235","729","352","31","1","7,446","7,446","393","534","581","738","959","1,175","1,199","828","837","195","7"
"제주특별자치도 제주시 조천읍(5011025900)","25,318","25,318","2,139","2,219","2,607","2,961","4,090","4,439","3,480","1,951","1,215","208","9","12,976","12,976","1,125","1,159","1,475","1,479","2,173","2,374","1,817","903","438","32","1","12,342","12,342","1,014","1,060","1,132","1,482","1,917","2,065","1,663","1,048","777","176","8"
"제주특별자치도 제주시 한경면(5011031000)","9,295","9,295","560","589","723","772","1,494","1,679","1,586","971","765","153","3","4,669","4,669","277","291","403","372","835","982","814","452","220","23","0","4,626","4,626","283","298","320","400","659","697","772","519","545","130","3"
"제주특별자치도 제주시 추자면(5011032000)","1,575","1,575","52","79","97","89","182","292","327","266","159","32","0","844","844","25","43","50","59","117","189","173","133","51","4","0","731","731","27","36","47","30","65","103","154","133","108","28","0"
"제주특별자치도 제주시 우도면(5011033000)","1,684","1,684","82","98","158","147","253","345","267","176","132","26","0","890","890","46","48","88","83","169","184","159","76","33","4","0","794","794","36","50","70","64","84","161","108","100","99","22","0"
"제주특별자치도 제주시 일도1동(5011051000)","2,340","2,340","81","133","198","211","312","444","495","301","138","26","1","1,235","1,235","39","64","115","126","178","272","257","128","50","6","0","1,105","1,105","42","69","83","85","134","172","238","173","88","20","1"
"제주특별자치도 제주시 일도2동(5011052000)","32,177","32,177","2,636","3,594","4,151","3,671","4,782","5,386","4,390","2,333","1,088","142","4","15,838","15,838","1,333","1,911","2,211","1,859","2,385","2,608","2,065","1,036","406","23","1","16,339","16,339","1,303","1,683","1,940","1,812","2,397","2,778","2,325","1,297","682","119","3"
"제주특별자치도 제주시 이도1동(5011053000)","7,486","7,486","469","738","1,051","898","1,020","1,288","1,063","546","351","59","3","3,720","3,720","249","388","511","482","534","643","533","247","122","11","0","3,766","3,766","220","350","540","416","486","645","530","299","229","48","3"
"제주특별자치도 제주시 이도2동(5011054000)","49,130","49,130","4,295","6,071","7,145","6,404","8,082","7,911","5,329","2,583","1,111","194","5","24,036","24,036","2,231","3,096","3,644","3,210","3,874","3,874","2,487","1,196","388","36","0","25,094","25,094","2,064","2,975","3,501","3,194","4,208","4,037","2,842","1,387","723","158","5"
"제주특별자치도 제주시 삼도1동(5011055000)","13,264","13,264","1,005","1,359","1,665","1,417","2,091","2,199","1,654","1,200","587","83","4","6,519","6,519","505","671","867","740","1,075","1,106","780","520","241","14","0","6,745","6,745","500","688","798","677","1,016","1,093","874","680","346","69","4"
"제주특별자치도 제주시 삼도2동(5011056000)","7,852","7,852","475","643","924","945","1,129","1,416","1,230","657","364","66","3","4,078","4,078","249","354","512","526","606","775","626","284","134","12","0","3,774","3,774","226","289","412","419","523","641","604","373","230","54","3"
"제주특별자치도 제주시 용담1동(5011057000)","6,756","6,756","366","598","835","639","981","1,260","1,039","653","322","58","5","3,468","3,468","187","309","465","349","533","675","530","286","127","7","0","3,288","3,288","179","289","370","290","448","585","509","367","195","51","5"
"제주특별자치도 제주시 용담2동(5011058000)","14,309","14,309","965","1,376","1,737","1,517","2,080","2,432","2,148","1,300","647","103","4","7,256","7,256","493","722","948","827","1,112","1,273","1,046","587","238","10","0","7,053","7,053","472","654","789","690","968","1,159","1,102","713","409","93","4"
"제주특별자치도 제주시 건입동(5011059000)","8,756","8,756","599","755","987","921","1,224","1,483","1,478","840","393","74","2","4,473","4,473","297","409","550","472","644","801","744","390","146","20","0","4,283","4,283","302","346","437","449","580","682","734","450","247","54","2"
"제주특별자치도 제주시 화북동(5011060000)","23,897","23,897","2,233","2,956","3,011","2,715","3,934","4,125","2,794","1,340","664","118","7","11,883","11,883","1,149","1,594","1,619","1,363","1,976","2,006","1,378","575","205","18","0","12,014","12,014","1,084","1,362","1,392","1,352","1,958","2,119","1,416","765","459","100","7"
"제주특별자치도 제주시 삼양동(5011061000)","25,803","25,803","3,442","3,318","2,807","3,648","4,905","3,571","2,300","1,110","583","113","6","12,935","12,935","1,755","1,764","1,497","1,809","2,476","1,789","1,124","491","213","17","0","12,868","12,868","1,687","1,554","1,310","1,839","2,429","1,782","1,176","619","370","96","6"
