"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"경상남도 진주시 (4817000000)","345,793","345,793","26,577","34,643","44,192","40,470","53,033","56,937","48,846","25,873","13,276","1,892","54","170,967","170,967","13,761","18,230","24,301","20,909","26,353","28,116","23,344","11,364","4,226","357","6","174,826","174,826","12,816","16,413","19,891","19,561","26,680","28,821","25,502","14,509","9,050","1,535","48"
"경상남도 진주시 문산읍(4817025000)","8,050","8,050","589","650","742","873","1,009","1,338","1,452","814","485","97","1","4,077","4,077","321","357","406","459","546","705","771","365","131","16","0","3,973","3,973","268","293","336","414","463","633","681","449","354","81","1"
"경상남도 진주시 내동면(4817031000)","4,004","4,004","324","443","428","378","631","688","585","310","187","29","1","2,014","2,014","183","233","228","182","311","360","308","148","56","5","0","1,990","1,990","141","210","200","196","320","328","277","162","131","24","1"
"경상남도 진주시 정촌면(4817032000)","8,711","8,711","971","535","1,018","1,726","1,229","1,283","1,155","476","267","49","2","4,445","4,445","474","279","574","926","672","611","595","234","73","7","0","4,266","4,266","497","256","444","800","557","672","560","242","194","42","2"
"경상남도 진주시 금곡면(4817033000)","2,174","2,174","36","97","138","120","170","342","504","395","313","56","3","1,033","1,033","16","51","86","70","109","188","265","155","85","8","0","1,141","1,141","20","46","52","50","61","154","239","240","228","48","3"
"경상남도 진주시 진성면(4817035000)","1,855","1,855","40","46","111","117","129","329","489","295","255","43","1","916","916","23","23","64","66","82","188","249","133","78","10","0","939","939","17","23","47","51","47","141","240","162","177","33","1"
"경상남도 진주시 일반성면(4817036000)","2,551","2,551","90","181","198","162","257","479","526","356","268","33","1","1,250","1,250","46","99","117","86","144","256","280","148","67","6","1","1,301","1,301","44","82","81","76","113","223","246","208","201","27","0"
"경상남도 진주시 이반성면(4817037000)","1,568","1,568","22","44","67","65","90","249","448","292","249","42","0","786","786","16","29","43","47","59","154","230","135","64","9","0","782","782","6","15","24","18","31","95","218","157","185","33","0"
"경상남도 진주시 사봉면(4817038000)","1,468","1,468","27","44","55","73","139","190","375","293","236","35","1","716","716","13","24","34","41","97","116","185","139","61","6","0","752","752","14","20","21","32","42","74","190","154","175","29","1"
"경상남도 진주시 지수면(4817039000)","1,414","1,414","33","72","96","55","129","231","316","248","197","37","0","708","708","15","31","63","35","82","136","165","123","52","6","0","706","706","18","41","33","20","47","95","151","125","145","31","0"
"경상남도 진주시 대곡면(4817040000)","3,163","3,163","52","116","193","154","237","551","762","554","472","69","3","1,583","1,583","30","65","124","97","158","319","386","256","136","12","0","1,580","1,580","22","51","69","57","79","232","376","298","336","57","3"
"경상남도 진주시 금산면(4817041000)","20,840","20,840","2,009","2,686","2,248","2,336","3,599","3,380","2,653","1,226","630","73","0","10,448","10,448","1,062","1,428","1,270","1,191","1,723","1,668","1,318","559","220","9","0","10,392","10,392","947","1,258","978","1,145","1,876","1,712","1,335","667","410","64","0"
"경상남도 진주시 집현면(4817042000)","4,602","4,602","197","406","387","348","613","867","853","542","337","51","1","2,300","2,300","99","202","226","178","330","471","452","234","95","13","0","2,302","2,302","98","204","161","170","283","396","401","308","242","38","1"
"경상남도 진주시 미천면(4817043000)","1,571","1,571","19","41","75","55","97","270","394","325","255","39","1","778","778","8","28","46","30","69","164","209","150","67","7","0","793","793","11","13","29","25","28","106","185","175","188","32","1"
"경상남도 진주시 명석면(4817044000)","3,962","3,962","116","175","306","223","389","735","1,034","558","358","65","3","1,943","1,943","60","86","161","126","218","364","538","253","123","13","1","2,019","2,019","56","89","145","97","171","371","496","305","235","52","2"
"경상남도 진주시 대평면(4817045000)","1,026","1,026","22","41","85","43","86","173","258","156","139","21","2","492","492","11","17","53","26","48","95","138","68","32","4","0","534","534","11","24","32","17","38","78","120","88","107","17","2"
"경상남도 진주시 수곡면(4817046000)","2,179","2,179","45","88","130","94","195","377","567","333","313","36","1","1,065","1,065","28","48","75","45","131","224","288","144","77","5","0","1,114","1,114","17","40","55","49","64","153","279","189","236","31","1"
"경상남도 진주시 천전동(4817051500)","27,662","27,662","1,447","2,397","4,303","2,674","3,838","4,552","4,241","2,707","1,331","163","9","13,576","13,576","769","1,329","2,356","1,443","1,904","2,192","1,916","1,148","479","38","2","14,086","14,086","678","1,068","1,947","1,231","1,934","2,360","2,325","1,559","852","125","7"
"경상남도 진주시 성북동(4817055500)","10,208","10,208","380","681","1,373","1,092","1,457","1,655","1,864","1,104","513","88","1","5,044","5,044","197","362","716","603","790","825","862","483","186","20","0","5,164","5,164","183","319","657","489","667","830","1,002","621","327","68","1"
"경상남도 진주시 중앙동(4817056500)","10,884","10,884","298","631","1,078","848","1,250","1,798","2,432","1,680","782","86","1","5,267","5,267","163","353","596","486","705","946","1,062","707","232","17","0","5,617","5,617","135","278","482","362","545","852","1,370","973","550","69","1"
"경상남도 진주시 상봉동(4817059500)","13,703","13,703","496","1,010","1,760","1,191","1,749","2,503","2,563","1,631","697","102","1","6,786","6,786","275","536","927","646","980","1,282","1,168","713","237","22","0","6,917","6,917","221","474","833","545","769","1,221","1,395","918","460","80","1"
"경상남도 진주시 상대동(4817067300)","19,185","19,185","873","1,536","2,819","1,924","2,605","3,528","3,300","1,809","718","72","1","9,490","9,490","432","794","1,533","1,077","1,344","1,681","1,509","818","286","16","0","9,695","9,695","441","742","1,286","847","1,261","1,847","1,791","991","432","56","1"
"경상남도 진주시 하대동(4817067800)","24,093","24,093","1,204","2,349","3,640","2,428","3,449","4,848","3,805","1,625","659","83","3","12,028","12,028","659","1,260","2,040","1,316","1,679","2,313","1,795","745","207","13","1","12,065","12,065","545","1,089","1,600","1,112","1,770","2,535","2,010","880","452","70","2"
"경상남도 진주시 상평동(4817068000)","11,415","11,415","670","1,000","1,458","1,328","1,663","1,990","1,902","993","361","49","1","5,798","5,798","332","485","824","733","886","1,008","926","453","140","11","0","5,617","5,617","338","515","634","595","777","982","976","540","221","38","1"
"경상남도 진주시 초장동(4817069500)","26,823","26,823","3,184","4,017","3,242","3,523","5,305","4,176","2,069","880","374","49","4","13,578","13,578","1,715","2,266","1,818","1,629","2,488","2,107","1,049","385","113","7","1","13,245","13,245","1,469","1,751","1,424","1,894","2,817","2,069","1,020","495","261","42","3"
"경상남도 진주시 평거동(4817071000)","27,300","27,300","1,947","3,378","4,008","2,870","4,477","5,142","3,190","1,379","778","129","2","13,069","13,069","986","1,743","2,174","1,430","1,946","2,409","1,547","553","253","28","0","14,231","14,231","961","1,635","1,834","1,440","2,531","2,733","1,643","826","525","101","2"
"경상남도 진주시 신안동(4817071500)","11,523","11,523","616","1,054","1,531","1,126","1,557","1,987","1,997","1,042","535","74","4","5,444","5,444","324","546","804","580","739","906","860","455","213","17","0","6,079","6,079","292","508","727","546","818","1,081","1,137","587","322","57","4"
