"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"경기도 파주시 (4148000000)","481,922","481,922","43,269","50,277","59,399","68,091","82,677","76,644","55,043","28,718","15,499","2,247","58","244,431","244,431","22,078","25,722","31,977","35,800","42,440","39,928","27,543","12,721","5,665","545","12","237,491","237,491","21,191","24,555","27,422","32,291","40,237","36,716","27,500","15,997","9,834","1,702","46"
"경기도 파주시 문산읍(4148025000)","48,051","48,051","4,527","4,854","5,592","7,367","7,511","6,975","5,705","3,350","1,931","232","7","24,683","24,683","2,282","2,497","3,150","4,083","4,042","3,647","2,793","1,452","660","74","3","23,368","23,368","2,245","2,357","2,442","3,284","3,469","3,328","2,912","1,898","1,271","158","4"
"경기도 파주시 파주읍(4148025300)","13,582","13,582","596","856","1,547","1,380","1,749","2,552","2,541","1,354","869","134","4","7,223","7,223","314","429","941","788","1,000","1,441","1,358","616","299","35","2","6,359","6,359","282","427","606","592","749","1,111","1,183","738","570","99","2"
"경기도 파주시 법원읍(4148025600)","10,360","10,360","303","644","1,294","868","1,083","1,993","2,159","1,208","700","107","1","5,540","5,540","162","345","806","505","620","1,091","1,156","571","250","34","0","4,820","4,820","141","299","488","363","463","902","1,003","637","450","73","1"
"경기도 파주시 조리읍(4148026200)","29,436","29,436","1,587","2,676","3,549","2,845","4,284","5,766","4,817","2,388","1,347","172","5","14,965","14,965","813","1,347","1,937","1,531","2,233","2,999","2,447","1,093","520","43","2","14,471","14,471","774","1,329","1,612","1,314","2,051","2,767","2,370","1,295","827","129","3"
"경기도 파주시 월롱면(4148031000)","9,444","9,444","152","249","2,650","1,806","1,013","1,332","1,244","585","349","64","0","6,360","6,360","69","138","1,963","1,461","758","844","709","283","118","17","0","3,084","3,084","83","111","687","345","255","488","535","302","231","47","0"
"경기도 파주시 탄현면(4148032000)","13,308","13,308","598","958","1,491","1,454","2,043","2,599","2,203","1,126","712","116","8","7,209","7,209","313","495","876","870","1,146","1,480","1,204","532","271","22","0","6,099","6,099","285","463","615","584","897","1,119","999","594","441","94","8"
"경기도 파주시 광탄면(4148035000)","11,062","11,062","424","592","1,184","987","1,235","2,233","2,352","1,207","709","135","4","6,057","6,057","217","320","752","602","725","1,260","1,313","595","247","25","1","5,005","5,005","207","272","432","385","510","973","1,039","612","462","110","3"
"경기도 파주시 파평면(4148036000)","3,836","3,836","86","178","430","236","335","720","852","557","365","74","3","2,048","2,048","52","96","286","145","191","427","432","272","134","12","1","1,788","1,788","34","82","144","91","144","293","420","285","231","62","2"
"경기도 파주시 적성면(4148037000)","7,399","7,399","545","494","963","890","769","1,113","1,294","845","411","70","5","4,037","4,037","273","284","641","512","441","602","707","395","164","18","0","3,362","3,362","272","210","322","378","328","511","587","450","247","52","5"
"경기도 파주시 장단면(4148039000)","717","717","28","43","51","59","75","139","134","116","63","9","0","372","372","13","17","29","28","48","76","75","52","29","5","0","345","345","15","26","22","31","27","63","59","64","34","4","0"
"경기도 파주시 금촌1동(4148051000)","22,012","22,012","1,003","1,434","3,409","2,898","3,108","4,104","3,313","1,736","875","132","0","11,778","11,778","522","749","1,949","1,738","1,727","2,291","1,707","752","308","35","0","10,234","10,234","481","685","1,460","1,160","1,381","1,813","1,606","984","567","97","0"
"경기도 파주시 금촌2동(4148052000)","32,561","32,561","2,972","4,153","4,103","4,216","5,791","5,338","3,160","1,754","945","128","1","15,880","15,880","1,514","2,141","2,065","2,121","2,754","2,715","1,467","741","338","24","0","16,681","16,681","1,458","2,012","2,038","2,095","3,037","2,623","1,693","1,013","607","104","1"
"경기도 파주시 금촌3동(4148053000)","27,519","27,519","2,124","2,680","3,827","3,504","4,291","4,905","3,424","1,717","910","135","2","14,085","14,085","1,073","1,417","2,100","1,874","2,224","2,507","1,712","793","354","30","1","13,434","13,434","1,051","1,263","1,727","1,630","2,067","2,398","1,712","924","556","105","1"
"경기도 파주시 교하동(4148054000)","51,976","51,976","5,384","6,135","6,119","7,931","9,593","8,109","4,924","2,357","1,217","205","2","26,234","26,234","2,751","3,181","3,198","4,058","4,805","4,256","2,488","1,033","430","34","0","25,742","25,742","2,633","2,954","2,921","3,873","4,788","3,853","2,436","1,324","787","171","2"
"경기도 파주시 운정1동(4148055000)","51,730","51,730","4,991","6,291","6,492","7,536","9,818","7,992","4,985","2,328","1,132","159","6","25,340","25,340","2,545","3,117","3,171","3,747","4,853","3,965","2,443","1,031","433","35","0","26,390","26,390","2,446","3,174","3,321","3,789","4,965","4,027","2,542","1,297","699","124","6"
"경기도 파주시 운정2동(4148056000)","62,655","62,655","8,464","7,862","6,277","10,820","12,764","7,988","4,612","2,520","1,179","165","4","30,521","30,521","4,319","3,948","3,005","5,266","6,396","4,003","2,084","1,012","440","47","1","32,134","32,134","4,145","3,914","3,272","5,554","6,368","3,985","2,528","1,508","739","118","3"
"경기도 파주시 운정3동(4148057000)","86,274","86,274","9,485","10,178","10,421","13,294","17,215","12,786","7,324","3,570","1,785","210","6","42,099","42,099","4,846","5,201","5,108","6,471","8,477","6,324","3,448","1,498","670","55","1","44,175","44,175","4,639","4,977","5,313","6,823","8,738","6,462","3,876","2,072","1,115","155","5"
