"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"경기도 화성시 (4159000000)","885,476","885,476","100,595","101,366","108,854","150,120","171,828","122,580","78,703","33,323","15,747","2,304","56","459,853","459,853","51,279","51,723","59,168","78,649","91,135","65,796","40,228","15,645","5,750","470","10","425,623","425,623","49,316","49,643","49,686","71,471","80,693","56,784","38,475","17,678","9,997","1,834","46"
"경기도 화성시 봉담읍(4159025300)","84,511","84,511","8,041","10,088","10,582","11,813","16,142","13,091","8,886","3,954","1,663","239","12","42,893","42,893","4,019","5,029","5,564","6,097","8,328","6,947","4,413","1,852","594","48","2","41,618","41,618","4,022","5,059","5,018","5,716","7,814","6,144","4,473","2,102","1,069","191","10"
"경기도 화성시 우정읍(4159025600)","17,422","17,422","794","1,433","1,779","1,577","2,651","3,517","3,055","1,596","898","120","2","9,545","9,545","426","751","1,082","963","1,581","2,025","1,610","753","320","34","0","7,877","7,877","368","682","697","614","1,070","1,492","1,445","843","578","86","2"
"경기도 화성시 향남읍(4159025900)","87,729","87,729","10,067","10,447","10,534","15,117","18,084","11,558","7,143","3,065","1,503","207","4","47,081","47,081","5,200","5,347","5,859","8,483","10,130","6,465","3,632","1,403","520","41","1","40,648","40,648","4,867","5,100","4,675","6,634","7,954","5,093","3,511","1,662","983","166","3"
"경기도 화성시 남양읍(4159026200)","43,098","43,098","3,983","3,689","5,835","7,280","7,111","6,632","5,261","2,131","999","173","4","23,535","23,535","2,063","1,885","3,448","4,269","4,044","3,613","2,751","1,050","378","34","0","19,563","19,563","1,920","1,804","2,387","3,011","3,067","3,019","2,510","1,081","621","139","4"
"경기도 화성시 매송면(4159031000)","6,925","6,925","229","442","786","602","856","1,440","1,410","710","402","48","0","3,665","3,665","120","239","456","344","489","795","740","326","144","12","0","3,260","3,260","109","203","330","258","367","645","670","384","258","36","0"
"경기도 화성시 비봉면(4159032000)","6,565","6,565","232","357","712","632","785","1,222","1,418","703","411","93","0","3,726","3,726","137","198","423","397","476","725","830","356","165","19","0","2,839","2,839","95","159","289","235","309","497","588","347","246","74","0"
"경기도 화성시 마도면(4159033000)","6,972","6,972","223","375","743","784","950","1,449","1,315","683","393","55","2","4,187","4,187","122","207","494","547","650","898","762","346","151","10","0","2,785","2,785","101","168","249","237","300","551","553","337","242","45","2"
"경기도 화성시 송산면(4159034000)","11,032","11,032","415","770","1,008","919","1,377","2,139","2,268","1,216","764","150","6","5,997","5,997","211","420","595","563","804","1,218","1,255","591","302","38","0","5,035","5,035","204","350","413","356","573","921","1,013","625","462","112","6"
"경기도 화성시 서신면(4159035000)","7,213","7,213","177","291","547","538","792","1,537","1,817","863","559","89","3","3,988","3,988","88","155","355","323","501","891","991","446","215","23","0","3,225","3,225","89","136","192","215","291","646","826","417","344","66","3"
