,name,address,latitude,longitude
0,서울기독대,서울특별시 은평구 갈현로4길 26-2,37.60114, 126.91240
1,예원예술대,전라북도 임실군 신평면 창인로 117,35.64729, 127.27103
2,경주대,경상북도 경주시 효현동 태종로 188 KR,35.83008, 129.16200
3,금강대,충청남도 논산시 상월면 대명리 14-9,36.30561, 127.19520
4,대구예술대,경상북도 칠곡군 가산면 다부거문1길 202,36.03314, 128.51022
5,신경대,경기도 화성시 남양동 중앙로 읍 400-5,37.20288, 126.83946
6,제주국제대,제주특별자치도 제주시 영평동 2235,33.44167, 126.57000
7,한국국제대,경상남도 진주시 문산읍 동부로 965,35.17373, 128.20312
8,한려대,전라남도 광양시 광양읍 한려대길 94-13,34.95612, 127.56400
9,두원공대,경기도 안성시 죽산면 관음당길 51 KR,37.06512, 127.42412
10,부산과학기술대,부산광역시 북구 구포2동 시랑로132번길 88,35.19469, 129.00413
11,서라벌대,경상북도 경주시 태종로 516,35.84012, 129.18513
12,강원관광대,강원도 태백시 대학길 97,37.16204, 128.97448
13,고구려대,전라남도 나주시 다시면 백호로 125,35.00783, 126.64953
14,광양보건대,전라남도 광양시 광양읍 덕례리 223-1,34.95464, 127.56775
15,대덕대,대전광역시 유성구 가정북로 68,36.39094, 127.36549
16,영남외대,경상북도 경산시 남천면 협석리 220-1,35.78640, 128.73318
17,웅지세무대,경기도 파주시 탄현면 웅지로144번길 73,37.81795, 126.73736
